Building,Room,Day,Start Time,End Time,Course,Instructor,Status
BRMB,240,T,03:30 PM,04:45 PM,574 Sec 1,Snell,OCCUPIED
BRMB,240,Th,03:30 PM,04:45 PM,574 Sec 1,Snell,OCCUPIED
CB,377,M,09:30 AM,10:45 AM,240 Sec 6,Wilkerson,OCCUPIED
CB,377,M,11:00 AM,12:15 PM,110 Sec 2,Page,OCCUPIED
CB,377,M,12:30 PM,01:45 PM,240 Sec 4,Rodham,OCCUPIED
CB,377,M,02:00 PM,03:15 PM,240 Sec 3,Jensen,OCCUPIED
CB,377,T,09:30 AM,10:45 AM,111 Sec 2,Reynolds,OCCUPIED
CB,377,T,12:30 PM,01:45 PM,240 Sec 2,Jensen,OCCUPIED
CB,377,T,02:00 PM,03:15 PM,111 Sec 1,Reynolds,OCCUPIED
CB,377,W,09:30 AM,10:45 AM,240 Sec 6,Wilkerson,OCCUPIED
CB,377,W,11:00 AM,12:15 PM,110 Sec 2,Page,OCCUPIED
CB,377,W,12:30 PM,01:45 PM,240 Sec 4,Rodham,OCCUPIED
CB,377,W,02:00 PM,03:15 PM,240 Sec 3,Jensen,OCCUPIED
CB,377,Th,09:30 AM,10:45 AM,111 Sec 2,Reynolds,OCCUPIED
CB,377,Th,12:30 PM,01:45 PM,240 Sec 2,Jensen,OCCUPIED
CB,377,Th,02:00 PM,03:15 PM,111 Sec 1,Reynolds,OCCUPIED
CTB,240,M,09:00 AM,09:50 AM,256 Sec 1,Hughes,OCCUPIED
CTB,240,W,09:00 AM,09:50 AM,256 Sec 1,Hughes,OCCUPIED
ESC,C215,M,12:30 PM,01:45 PM,270 Sec 1,MJ,OCCUPIED
ESC,C215,T,02:00 PM,03:15 PM,270 Sec 2,MJ,OCCUPIED
ESC,C215,W,12:30 PM,01:45 PM,270 Sec 1,MJ,OCCUPIED
ESC,C215,Th,02:00 PM,03:15 PM,270 Sec 2,MJ,OCCUPIED
ESC,C295,M,11:00 AM,11:50 AM,236 Sec 3,Goodrich,OCCUPIED
ESC,C295,W,11:00 AM,11:50 AM,236 Sec 3,Goodrich,OCCUPIED
ESC,C295,F,11:00 AM,11:50 AM,236 Sec 3,Goodrich,OCCUPIED
HBLL,3718,M,11:00 AM,11:50 AM,324 Sec 2,"Dougal, Duane",OCCUPIED
HBLL,3718,M,01:00 PM,01:50 PM,236 Sec 1,Goodrich,OCCUPIED
HBLL,3718,M,02:00 PM,02:50 PM,236 Sec 2,Goodrich,OCCUPIED
HBLL,3718,M,03:00 PM,03:50 PM,312B Sec 1,Williams,OCCUPIED
HBLL,3718,T,09:30 AM,10:45 AM,704R Sec 1,Richardson,OCCUPIED
HBLL,3718,T,12:30 PM,01:45 PM,401RT Sec 1,Team:Grimsman/Killian,OCCUPIED
HBLL,3718,T,02:00 PM,03:15 PM,465 Sec 1,Zappala,OCCUPIED
HBLL,3718,T,03:30 PM,04:45 PM,312 Sec 1,Farrell,OCCUPIED
