Building,Room,Day,Start Time,End Time,Course,Instructor,Status
JFSB,B106,M,08:00 AM,10:30 AM,235 Sec 1,Stephens,OCCUPIED
JFSB,B106,M,11:00 AM,01:30 PM,270 Sec 1,MJ,OCCUPIED
JFSB,B106,M,03:00 PM,04:40 PM,453 Sec 1,Ng,OCCUPIED
JFSB,B106,W,08:00 AM,10:30 AM,235 Sec 1,Stephens,OCCUPIED
JFSB,B106,W,11:00 AM,01:30 PM,270 Sec 1,MJ,OCCUPIED
JFSB,B106,W,03:00 PM,04:40 PM,453 Sec 1,Ng,OCCUPIED
JFSB,B106,F,03:00 PM,04:40 PM,453 Sec 1,Ng,OCCUPIED
JKB,3104,M,08:00 AM,10:30 AM,240 Sec 1,Wilkerson,OCCUPIED
JKB,3104,M,11:00 AM,01:30 PM,111 Sec 1,Stephens,OCCUPIED
JKB,3104,M,02:00 PM,04:30 PM,404 Sec 1,"Gates, Darin",OCCUPIED
JKB,3104,T,08:00 AM,10:30 AM,312 Sec 1,Bean,OCCUPIED
JKB,3104,T,11:00 AM,01:30 PM,452 Sec 1,Reynolds,OCCUPIED
JKB,3104,T,02:00 PM,04:30 PM,110 Sec 1,Bean,OCCUPIED
JKB,3104,W,08:00 AM,10:30 AM,240 Sec 1,Wilkerson,OCCUPIED
JKB,3104,W,11:00 AM,01:30 PM,111 Sec 1,Stephens,OCCUPIED
JKB,3104,W,02:00 PM,04:30 PM,404 Sec 1,"Gates, Darin",OCCUPIED
JKB,3104,Th,08:00 AM,10:30 AM,312 Sec 1,Bean,OCCUPIED
JKB,3104,Th,11:00 AM,01:30 PM,452 Sec 1,Reynolds,OCCUPIED
JKB,3104,Th,02:00 PM,04:30 PM,110 Sec 1,Bean,OCCUPIED
TMCB,136,T,05:00 PM,07:30 PM,224E Sec 1,"Barton, Dylan",OCCUPIED
TMCB,136,Th,05:00 PM,07:30 PM,224E Sec 1,"Barton, Dylan",OCCUPIED
