Building,Room,Day,Start Time,End Time,Course,Instructor,Status
JFSB,B135,T,01:00 PM,03:50 PM,404 Sec 1,"Gates, Darin",OCCUPIED
JFSB,B135,Th,01:00 PM,03:50 PM,404 Sec 1,"Gates, Darin",OCCUPIED
JKB,2111,M,10:00 AM,11:50 AM,224A Sec 1,Barker,OCCUPIED
JKB,2111,M,02:00 PM,03:50 PM,236 Sec 1,Barker,OCCUPIED
JKB,2111,W,10:00 AM,11:50 AM,224A Sec 1,Barker,OCCUPIED
JKB,2111,W,02:00 PM,03:50 PM,236 Sec 1,Barker,OCCUPIED
JKB,2111,F,10:00 AM,11:50 AM,224A Sec 1,Barker,OCCUPIED
JKB,2111,F,02:00 PM,03:50 PM,236 Sec 1,Barker,OCCUPIED
TMCB,1170,M,09:30 AM,10:45 AM,110 Sec 1,"Dougal, Duane",OCCUPIED
TMCB,1170,T,09:30 AM,10:45 AM,110 Sec 1,"Dougal, Duane",OCCUPIED
TMCB,1170,W,09:30 AM,10:45 AM,110 Sec 1,"Dougal, Duane",OCCUPIED
TMCB,1170,Th,09:30 AM,10:45 AM,110 Sec 1,"Dougal, Duane",OCCUPIED
TNRB,260,M,01:00 PM,02:50 PM,235 Sec 1,"Dougal, Duane",OCCUPIED
TNRB,260,T,01:00 PM,02:50 PM,235 Sec 1,"Dougal, Duane",OCCUPIED
TNRB,260,W,01:00 PM,02:50 PM,235 Sec 1,"Dougal, Duane",OCCUPIED
TNRB,260,Th,01:00 PM,02:50 PM,235 Sec 1,"Dougal, Duane",OCCUPIED
