Building,Room,Day,Start Time,End Time,Course,Instructor,Status
BNSN,W112,T,02:00 PM,03:15 PM,329 Sec 1,Jensen,OCCUPIED
BNSN,W112,Th,02:00 PM,03:15 PM,329 Sec 1,Jensen,OCCUPIED
CB,377,M,09:30 AM,10:45 AM,111 Sec 2,Stephens,OCCUPIED
CB,377,M,11:00 AM,12:15 PM,235 Sec 2,MJ,OCCUPIED
CB,377,M,12:30 PM,01:45 PM,240 Sec 1,Rodham,OCCUPIED
CB,377,M,02:00 PM,03:15 PM,235 Sec 3,MJ,OCCUPIED
CB,377,T,09:30 AM,10:45 AM,235 Sec 4,Stephens,OCCUPIED
CB,377,T,12:30 PM,01:45 PM,240 Sec 3,Wilkerson,OCCUPIED
CB,377,T,02:00 PM,03:15 PM,224B Sec 2,Archibald,OCCUPIED
CB,377,T,03:30 PM,04:45 PM,224B Sec 1,Archibald,OCCUPIED
CB,377,W,09:30 AM,10:45 AM,111 Sec 2,Stephens,OCCUPIED
CB,377,W,11:00 AM,12:15 PM,235 Sec 2,MJ,OCCUPIED
CB,377,W,12:30 PM,01:45 PM,240 Sec 1,Rodham,OCCUPIED
CB,377,W,02:00 PM,03:15 PM,235 Sec 3,MJ,OCCUPIED
CB,377,Th,09:30 AM,10:45 AM,235 Sec 4,Stephens,OCCUPIED
CB,377,Th,12:30 PM,01:45 PM,240 Sec 3,Wilkerson,OCCUPIED
CB,377,Th,02:00 PM,03:15 PM,224B Sec 2,Archibald,OCCUPIED
CB,377,Th,03:30 PM,04:45 PM,224B Sec 1,Archibald,OCCUPIED
CB,381,M,10:00 AM,10:50 AM,236 Sec 1,Barker,OCCUPIED
CB,381,T,09:30 AM,10:45 AM,180 Sec 1,Ringger,OCCUPIED
CB,381,W,10:00 AM,10:50 AM,236 Sec 1,Barker,OCCUPIED
CB,381,Th,09:30 AM,10:45 AM,180 Sec 1,Ringger,OCCUPIED
CB,381,F,10:00 AM,10:50 AM,236 Sec 1,Barker,OCCUPIED
HBLL,3718,M,08:00 AM,09:15 AM,111 Sec 4,"Giles, Steven",OCCUPIED
HBLL,3718,M,09:30 AM,10:45 AM,556 Sec 1,Hughes,OCCUPIED
HBLL,3718,M,11:00 AM,12:15 PM,301R Sec 3,Stephens,OCCUPIED
HBLL,3718,M,12:30 PM,01:45 PM,393 Sec 1,Reynolds,OCCUPIED
HBLL,3718,M,02:00 PM,03:15 PM,393 Sec 2,Reynolds,OCCUPIED
HBLL,3718,M,05:30 PM,06:45 PM,111E Sec 1,"Cluff, Andrew",OCCUPIED
HBLL,3718,T,09:30 AM,10:45 AM,240 Sec 3,Wilkerson,OCCUPIED
HBLL,3718,T,02:00 PM,03:15 PM,630 Sec 1,Germane,OCCUPIED
HBLL,3718,T,03:30 PM,04:45 PM,312 Sec 1,Bean,OCCUPIED
HBLL,3718,W,08:00 AM,09:15 AM,111 Sec 4,"Giles, Steven",OCCUPIED
HBLL,3718,W,09:30 AM,10:45 AM,556 Sec 1,Hughes,OCCUPIED
HBLL,3718,W,11:00 AM,12:15 PM,301R Sec 3,Stephens,OCCUPIED
HBLL,3718,W,12:30 PM,01:45 PM,393 Sec 1,Reynolds,OCCUPIED
HBLL,3718,W,02:00 PM,03:15 PM,393 Sec 2,Reynolds,OCCUPIED
HBLL,3718,W,05:30 PM,06:45 PM,111E Sec 1,"Cluff, Andrew",OCCUPIED
HBLL,3718,Th,09:30 AM,10:45 AM,240 Sec 3,Wilkerson,OCCUPIED
HBLL,3718,Th,02:00 PM,03:15 PM,630 Sec 1,Germane,OCCUPIED
HBLL,3718,Th,03:30 PM,04:45 PM,312 Sec 1,Bean,OCCUPIED
JFSB,B092,M,09:30 AM,10:45 AM,474 Sec 2,Killian,OCCUPIED
JFSB,B092,M,11:00 AM,11:50 AM,236 Sec 3,Barker,OCCUPIED
JFSB,B092,M,11:00 AM,12:15 PM,474 Sec 1,Jenkins,OCCUPIED
JFSB,B092,M,12:30 PM,01:45 PM,270 Sec 2,Snell,OCCUPIED
JFSB,B092,M,02:00 PM,02:50 PM,236 Sec 2,Barker,OCCUPIED
JFSB,B092,M,02:00 PM,03:15 PM,270 Sec 1,Snell,OCCUPIED
JFSB,B092,T,08:00 AM,09:15 AM,260 Sec 1,Jensen,OCCUPIED
JFSB,B092,T,09:00 AM,10:50 AM,340 Sec 2,Wilkerson,OCCUPIED
JFSB,B092,T,12:00 PM,01:50 PM,340 Sec 3,Wilkerson,OCCUPIED
JFSB,B092,T,02:00 PM,03:50 PM,340 Sec 1,Rodham,OCCUPIED
JFSB,B092,W,09:30 AM,10:45 AM,474 Sec 2,Killian,OCCUPIED
JFSB,B092,W,11:00 AM,11:50 AM,236 Sec 3,Barker,OCCUPIED
JFSB,B092,W,11:00 AM,12:15 PM,474 Sec 1,Jenkins,OCCUPIED
