Building,Room,Hours Occupied Per Week,Number of Classes,Utilization %
BRMB,240,2.5,2,5.0%
CB,377,17.5,14,35.0%
CTB,240,1.7,2,3.3%
ESC,C215,5.0,4,10.0%
ESC,C295,2.5,3,5.0%
HBLL,3718,22.5,22,45.0%
JFSB,B037,2.5,3,5.0%
JFSB,B092,5.0,5,10.0%
JFSB,B106,2.5,2,5.0%
JFSB,B135,2.8,1,5.7%
JKB,1002,2.5,2,5.0%
JKB,1102,15.0,12,30.0%
JKB,1126,2.5,3,5.0%
JKB,2002,1.7,2,3.3%
JKB,2104,2.5,2,5.0%
JKB,2105,2.5,2,5.0%
JKB,2107,3.7,2,7.3%
JKB,2111,2.5,2,5.0%
JKB,2113,12.3,8,24.7%
JKB,3106,2.5,2,5.0%
JKB,3108,17.5,14,35.0%
JSB,110,2.5,2,5.0%
LSB,2004,2.5,2,5.0%
MARB,130,30.0,29,60.0%
MARB,222,17.5,14,35.0%
MARB,B107,5.0,4,10.0%
MARB,B119,3.8,3,7.5%
MARB,B124,2.5,2,5.0%
MSRB,321,2.5,2,5.0%
RB,204,2.5,2,5.0%
TMCB,104,2.5,2,5.0%
TMCB,1170,23.3,19,46.7%
TMCB,120,15.0,13,30.0%
TMCB,134,12.5,11,25.0%
TNRB,284,2.5,2,5.0%
TNRB,W208,2.5,2,5.0%
