Building,Room,Hours Occupied Per Week,Number of Classes,Utilization %
BRMB,240,5.0,4,10.0%
CB,377,20.0,16,40.0%
ESC,C285,9.2,8,18.3%
HBLL,3718,20.0,17,40.0%
JFSB,B092,17.5,14,35.0%
JKB,1102,16.2,12,32.3%
JKB,2113,7.5,7,15.0%
JKB,3106,10.0,8,20.0%
JKB,3108,16.2,13,32.3%
MARB,130,20.0,17,40.0%
MARB,222,5.0,4,10.0%
MCKB,220,2.5,3,5.0%
MCKB,26,7.5,8,15.0%
SFH,37,1.7,2,3.3%
TMCB,104,6.7,6,13.3%
TMCB,108,5.8,5,11.7%
TMCB,111,0.8,1,1.7%
TMCB,1170,28.7,26,57.3%
TMCB,120,32.5,26,65.0%
TMCB,134,17.5,14,35.0%
TMCB,135,2.5,2,5.0%
TMCB,136,13.3,16,26.7%
TMCB,197,3.3,3,6.7%
