Course 1,Course 2,Day,Time,Semester
111-1,240-1,M,11:00 AM-12:15 PM,Spring 2027
111-1,270-1,M,11:00 AM-12:15 PM,Spring 2027
240-1,270-1,M,11:00 AM-12:15 PM,Spring 2027
110-1,235-1,T,02:00 PM-03:15 PM,Spring 2027
110-1,452-1,T,02:00 PM-03:15 PM,Spring 2027
235-1,452-1,T,02:00 PM-03:15 PM,Spring 2027
111-1,240-1,W,11:00 AM-12:15 PM,Spring 2027
111-1,270-1,W,11:00 AM-12:15 PM,Spring 2027
240-1,270-1,W,11:00 AM-12:15 PM,Spring 2027
110-1,235-1,Th,02:00 PM-03:15 PM,Spring 2027
110-1,452-1,Th,02:00 PM-03:15 PM,Spring 2027
235-1,452-1,Th,02:00 PM-03:15 PM,Spring 2027
