Course,Fall 2026,Winter 2027,Spring 2027,Summer 2027
Total 400-level CS courses,20,20,5,1
Total 500/600-level CS courses,8,9,0,0
CS 101,"Clement, Morse, Seamons, Seppi",Morse,,
CS 110,"Bean, Page, Dougal, Duane, Dougal, Duane, Jones, Angela","Bean, Dougal, Duane, Jones, Angela",Bean,"Dougal, Duane"
CS 110-O,"Jones, Angela","Jones, Angela",,
CS 110E,"Hansen, Bruce","Hansen, Bruce",,
CS 110L,"110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab","110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab, 110Lab",110Lab,110Lab
CS 111,"Reynolds, Reynolds, Richardson, Giles, Steven","Richardson, Stephens, Giles, Steven",Stephens,
CS 111-O,Stephens,Stephens,,
CS 111E,"Cluff, Andrew","Cluff, Andrew",,
CS 111L,"111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab","111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab, 111Lab",111Lab,
CS 180,,"Ringger, Ringger",,
CS 191,"Zappala, Dougal, Duane","Zappala, Dougal, Duane",,
CS 202,Wilkerson,Wilkerson,,
CS 224,"Barker, Barker","Archibald, Archibald, Mercer","Barton, Dylan",Barker
CS 224-O,Clement,Clement,,
CS 224L,"224Lab, 224Lab, 224Lab, 224Lab, 224Lab, 224Lab","224Lab, 224Lab, 224Lab, 224Lab, 224Lab, 224Lab",224Lab,
CS 235,"Crandall, Crandall, Crandall, Stephens, Barton, Dylan","MJ, MJ, Stephens, Barton, Dylan, Dougal, Duane",Stephens,"Dougal, Duane"
CS 235-O,Crandall,Clement,,
CS 236,"Goodrich, Goodrich, Goodrich, Mercer","Barker, Barker, Barker",,Barker
CS 240,"Jensen, Jensen, Jensen, Rodham, Wilkerson","Rodham, Rodham, Wilkerson, Wilkerson",Wilkerson,
CS 240-O,Rodham,Wilkerson,,Rodham
CS 252,"Barker, Barker","Ng, Ng",,
CS 256,Hughes,Hughes,,
CS 260,"Clement, Ventura","Jensen, Jensen",,
CS 260-O,Ventura,Jensen,,
CS 270,"MJ, MJ","Snell, Snell",MJ,
CS 291T,"Zappala, Dougal, Duane","Zappala, Dougal, Duane",,
CS 301R,"Bean, MJ, Sillito, Stephens","Bean, MJ, Stephens",,
CS 312,"Farrell, Farrell, Williams, Williams","Bean, Grimsman, Grimsman",Bean,
CS 324,"Seamons, Dougal, Duane","Deccio, Deccio, Dougal, Duane",,
CS 329,Jensen,Jensen,,
CS 330,Germane,Germane,,
CS 340,"Rodham, Rodham, Sillito, Wilkerson",Wilkerson,,
CS 345E,"Judd, Glenn","Judd, Glenn",,
CS 355,Egbert,,,
CS 356,Jones MD,,,
CS 393,Reynolds,"Reynolds, Reynolds",,
CS 401R,"Bean, Grimsman, Hughes, Killian, Toborg","Bean, Page, Toborg",,
CS 404,"Gates, Darin, Gates, Darin","Gates, Darin, Gates, Darin","Gates, Darin","Gates, Darin"
CS 405,"Earnshaw, Craig","Earnshaw, Craig",,
CS 418,Williams,,,
CS 428,"Webster, Bruce","Webster, Bruce",,
CS 430,Germane,,,
CS 452,"Reynolds, Reynolds","Jenkins, Reynolds",Reynolds,
CS 453,,,Ng,
CS 455,,Egbert,,
CS 460,Deccio,,,
CS 465,Zappala,"Clift, Fred",,
CS 466,,Seamons,,
CS 470,Archibald,,,
CS 473,Wingate,Wingate,,
CS 474,Jenkins,"Jenkins, Killian, Ventura",,
CS 479,Ringger,,,
CS 480T,,"Rodham, Sillito, Baird, Brad",,
CS 481T,,"Rodham, Sillito, Baird, Brad",,
CS 482T,"MJ, Snell",,,
CS 483T,,"MJ, Snell",,
CS 486,,Mercer,,
CS 493,Farrell,Farrell,,
CS 501R,Grimsman,,,
CS 513,,Warnick,,
CS 556,,Hughes,,
CS 574,Snell,,,
CS 575,,Goodrich,,
CS 580,Warnick,,,
CS 601R,"Page, Ringger",Richardson,,
CS 630,,Germane,,
CS 653,Ng,,,
CS 655,,Egbert,,
CS 665,,Seamons,,
CS 670,Archibald,,,
CS 673,,Ventura,,
CS 674,Wingate,,,
CS 677,,Jenkins,,
CS 686,Mercer,,,
CS 704R,Richardson,"Morse, Williams",,
CS 712,,Warnick,,
CSANM 150,Van Dyke,Holladay,Van Dyke,
CSANM 210,Van Dyke,,,
CSANM 250,Van Dyke,Van Dyke,,
CSANM 252,,Van Dyke,,
CSANM 258,,"Harvey, Holladay",,
CSANM 342,Holladay,,,
CSANM 351,Holladay,,,
CSANM 353,,Van Dyke,,
CSANM 354,Harvey,,,
CSANM 450,Van Dyke,,,
CSANM 452,,"Harvey, Holladay",,
CSANM 454,,Harvey,,
CSANM 458,,,Holladay,
CSANM 459,Holladay,,,
CSANM 459R,Egbert,,,
CSANM 460,,Holladay,,
CSANM 460R,,Egbert,,
CSANM 494R,"Harvey, Holladay","Holladay, Van Dyke",Van Dyke,
DESAN 359,,,Holladay,
DESAN 460,Van Dyke,,,
