Sp2027,,,,,,,,,
Building,Room,Type,Capacity,Alt,Capacity,Assigned,Time,Days,Priority
HBLL,3718,B,59,21,7:00a,-,11:00p,Daily,1
JFSB,B037,B,120,28,7:00a,-,11:00p,Daily,1
JFSB,B106,B,87,37,7:00a,-,11:00p,Daily,1
JKB,1102,B,285,58,7:00a,-,11:00p,Daily,2
JKB,2111,B,85,25,7:00a,-,11:00p,Daily,1
JKB,3104,B,94,25,7:00a,-,11:00p,Daily,1
TMCB,120,B,41,13,7:00a,-,11:00p,Daily,1
TMCB,134,B,42,11,7:00a,-,11:00p,Daily,1
TMCB,136,B,40,13,7:00a,-,11:00p,Daily,1
TBD,TBD,B,999,0,7:00a,-,11:00p,Daily,99
,,,,,,,,,
Su2027,,,,,,,,,
Building,Room,Type,Capacity,Alt,Capacity,Assigned,Time,Days,Priority
HBLL,3718,B,59,21,7:00a,-,11:00p,Daily,1
JFSB,B037,B,120,28,7:00a,-,11:00p,Daily,1
JFSB,B106,B,87,37,7:00a,-,11:00p,Daily,1
JKB,1102,B,285,58,7:00a,-,11:00p,Daily,2
JKB,2111,B,85,25,7:00a,-,11:00p,Daily,1
JKB,3104,B,94,25,7:00a,-,11:00p,Daily,1
TMCB,120,B,41,13,7:00a,-,11:00p,Daily,1
TMCB,134,B,42,11,7:00a,-,11:00p,Daily,1
TMCB,136,B,40,13,7:00a,-,11:00p,Daily,1
TBD,TBD,B,999,0,7:00a,-,11:00p,Daily,99
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
F2026,,,,,,,,,
Building,Room,Type,Capacity,Alt,,Assigned,Time,Days,Priority
BRMB,240,B,48,19,7:00a,-,11:00p,Daily,2
ESC,C215,B,170,39,7:00a,-,11:00p,Daily,2
HBLL,3718,B,59,21,7:00a,-,11:00p,Daily,1
JFSB,B037,B,120,28,7:00a,-,11:00p,Daily,2
JFSB,B092,B,125,33,7:00a,-,11:00p,Daily,2
JKB,1102,B,285,58,7:00a,-,11:00p,Daily,2
JKB,3106,B,92,24,7:00a,-,11:00p,Daily,2
JKB,3108,B,306,58,7:00a,-,11:00p,Daily,2
MARB,130,B,72,20,7:00a,-,11:00p,Daily,1
MCKB,220,B,32,16,7:00a,-,11:00p,Daily,2
MCKB,26,B,30,10,7:00a,-,11:00p,Daily,2
MCKB,280,B,32,16,7:00a,-,11:00p,Daily,2
MCKB,331,B,32,15,7:00a,-,11:00p,Daily,2
TMCB,1170,B,203,49,7:00a,-,11:00p,Daily,1
TMCB,120,B,41,13,7:00a,-,11:00p,Daily,1
TMCB,134,B,42,11,7:00a,-,11:00p,Daily,1
TBD,TBD,B,999,0,7:00a,-,11:00p,Daily,99
College,,,,,,,,,
CB,377,B,342,80,7:00a,-,11:00p,Daily,1
ESC,C247,B,48,21,7:00a,-,11:00p,Daily,2
ESC,C285,B,50,16,7:00a,-,11:00p,Daily,2
JKB,2113,B,85,25,7:00a,-,11:00p,MWThF,1
MARB,222,B,269,61,7:00a,-,11:00p,Daily,2
SFH,37,B,34,19,7:00a,-,11:00p,Daily,2
TMCB,104,B,42,13,7:00a,-,11:00p,Daily,2
TMCB,108,B,42,13,7:00a,-,11:00p,Daily,2
TMCB,111,B,77,26,7:00a,-,11:00p,Daily,2
TMCB,112,B,42,13,7:00a,-,11:00p,Daily,2
TMCB,116,B,42,13,7:00a,-,11:00p,Daily,2
TMCB,1170,B,203,49,7:00a,-,11:00p,Daily,2
TMCB,120,B,41,13,7:00a,-,11:00p,Daily,2
TMCB,121,B,42,13,7:00a,-,11:00p,Daily,2
TMCB,134,B,42,11,7:00a,-,11:00p,Daily,2
TMCB,135,B,69,20,7:00a,-,11:00p,Daily,2
,,,,,,,,,
