Building,Room,Priority,F 02:00 PM-04:30 PM,"M,W 09:30 AM-10:45 AM","M,W 11:00 AM-12:15 PM","M,W 12:30 PM-01:45 PM","M,W 02:00 PM-03:15 PM","M,W 02:00 PM-03:50 PM","M,W 3:30 PM-4:45 PM","M,W 05:00 PM-06:15 PM","M,W,F 8:00 AM-8:50 AM","M,W,F 09:00 AM-09:50 AM","M,W,F 10:00 AM-10:50 AM","M,W,F 11:00 AM-11:50 AM","M,W,F 12:30 PM-01:45 PM","M,W,F 02:00 PM-02:50 PM","M,W,F 03:00 PM-03:50 PM",T 12:00 PM-12:50 PM,T 02:00 PM-02:50 PM,T 04:00 PM-04:50 PM,"T,Th 08:00 AM-09:15 AM","T,Th 8:00 AM-9:15 AM","T,Th 09:00 AM-10:50 AM","T,Th 09:00 AM-09:50 AM","T,Th 09:30 AM-10:45 AM","T,Th 10:00 AM-10:50 AM","T,Th 12:00 PM-12:50 PM","T,Th 12:30 PM-01:45 PM","T,Th 01:00 PM-01:50 PM","T,Th 01:00 PM-02:50 PM","T,Th 02:00 PM-02:50 PM","T,Th 02:00 PM-03:15 PM","T,Th 03:00 PM-03:50 PM","T,Th 3:30 PM-4:45 PM","T,Th 03:30 PM-04:45 PM","T,Th 04:00 PM-04:50 PM","T,Th 05:00 PM-06:15 PM","T,Th 05:30 PM-06:45 PM","T,Th 05:30 PM-06:20 PM",Th 11:00 AM-11:50 AM,W 09:00 AM-09:50 AM,W 11:00 AM-11:50 AM,W 12:00 PM-12:50 PM,W 01:00 PM-01:50 PM,Online
BRMB,240,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB,377,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESC,C215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESC,C247,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESC,C285,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HBLL,3718,1,,CS 704R-2 (Morse),,,CS 574-1 (Snell),X,,"CS 110E-1 (Hansen, Bruce)",,X,CS 460-1 (Deccio),,,X,X,,X,X,,,X,X,CS 312-2 (Ringger),X,,,,X,X,CS 673-1 (Ventura),X,X,CS 111L-17 (TBD),X,,,,,X,,,,
JFSB,B037,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JFSB,B092,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,1102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,2113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,3106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,3108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARB,130,1,,CS 393-1 (Reynolds),CS 256-1 (Hughes),CS 260C-1 (Clement),,,,,,X,X,X,X,,,X,X,,,,X,X,CS 355-1 (Egbert),X,X,CS 704R-1 (Richardson),X,X,X,CS 418-1 (Williams),X,,,,,,,,X,X,X,X,
MARB,222,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCKB,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCKB,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCKB,280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SFH,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TBD,TBD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,1170,1,"CS 191/291T-1 (Team:Zappala/Dougal, Duane)",X,CS 110-1 (Bean),CS 240-4 (Rodham),"CS 111-5 (Giles, Steven)",X,CS 180-1 (Kapp),,,CS 236-1 (Goodrich),CS 236-2 (Goodrich),X,X,X,X,X,X,,X,X,CS 340-2 (Wilkerson),X,X,X,X,"CS 110-4 (Dougal, Duane)",X,X,X,"CS 110-3 (Dougal, Duane)",X,,,,,,,,X,X,X,X,
TMCB,120,1,"CS 428-1 (Webster, Bruce)",CS 401R-3 (Toborg),,X,CS 356-1 (Jones MD),X,,,CS 401RB-1 (Bean),X,X,,CS 580-1 (Warnick),X,X,X,X,X,CS 356-2 (Larsen),CS 450-1 (Farrell),X,X,"CS 405-1 (Earnshaw, Craig)",X,X,CS 493-1 (Farrell),X,X,X,CS 312-1 (Ringger),X,CS 456-1 (Carroll),X,X,"CS 345E-1 (Judd, Glenn)",X,X,,X,,X,X,
TMCB,134,1,,CS 601R-1 (Ringger),CS 479-1 (Ringger),CS 401R-2 (Hughes),,,,,,X,X,X,X,,,X,X,,,,X,X,CS 674-1 (Wingate),X,X,CS 501R-1 (Grimsman),X,X,X,CS 401RT-1 (Team:Grimsman/Killian),X,,,,"CS 235E-1 (Barton, Dylan)",X,X,,X,X,X,X,
TMCB,135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,136,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,197,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,SMALL1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Online,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CS 110-O (Jones, Angela); CS 235-O (Crandall); CS 240-O (Rodham); CS 111-O (Stephens); CS 260-O (Ventura)"
