Building,Room,Priority,F 02:00 PM-04:30 PM,"M,W 08:00 AM-09:15 AM","M,W 09:00 AM-10:50 AM","M,W 09:30 AM-10:45 AM","M,W 11:00 AM-12:15 PM","M,W 12:30 PM-01:45 PM","M,W 02:00 PM-03:15 PM","M,W 02:00 PM-03:50 PM","M,W 3:30 PM-4:45 PM","M,W 05:00 PM-06:15 PM","M,W,F 8:00 AM-8:50 AM","M,W,F 09:00 AM-09:50 AM","M,W,F 10:00 AM-10:50 AM","M,W,F 11:00 AM-11:50 AM","M,W,F 12:00 PM-12:50 PM","M,W,F 01:00 PM-01:50 PM","M,W,F 03:00 PM-03:50 PM",T 12:00 PM-12:50 PM,T 02:00 PM-02:50 PM,T 04:00 PM-04:50 PM,"T,Th 8:00 AM-9:15 AM","T,Th 08:00 AM-09:15 AM","T,Th 09:00 AM-09:50 AM","T,Th 09:30 AM-10:45 AM","T,Th 10:00 AM-10:50 AM","T,Th 12:00 PM-01:50 PM","T,Th 12:00 PM-12:50 PM","T,Th 12:30 PM-01:45 PM","T,Th 01:00 PM-01:50 PM","T,Th 02:00 PM-03:15 PM","T,Th 02:00 PM-02:50 PM","T,Th 03:00 PM-03:50 PM","T,Th 03:30 PM-04:45 PM","T,Th 04:00 PM-04:50 PM","T,Th 05:00 PM-06:15 PM","T,Th 05:30 PM-06:20 PM","T,Th 05:30 PM-06:45 PM",Th 11:00 AM-11:50 AM,W 09:00 AM-09:50 AM,W 11:00 AM-11:50 AM,W 12:00 PM-12:50 PM,W 01:00 PM-01:50 PM,Online
BRMB,240,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB,377,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESC,C285,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HBLL,3718,1,,,X,X,CS 513-1 (Warnick),CS 466-1 (Seamons),CS 473-1 (Wingate),X,,,,,CS 486-1 (Mercer),X,X,X,X,X,X,X,,,X,CS 224B-1 (Archibald),X,X,X,CS 224B-2 (Archibald),X,CS 260-1 (Jensen),X,X,CS 111L-17 (TBD),X,,,,,,X,X,X,
JFSB,B092,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,1102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,2113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,3106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JKB,3108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARB,130,1,,,X,X,CS 665-1 (Seamons),CS 301R-3 (Stephens),CS 601R-1 (Richardson),X,,,,,CS 401R-1 (Bean),X,X,X,X,X,X,X,,,X,CS 483T-1 (Team:MJ/Snell),X,X,X,CS 260-2 (Jensen),X,"CS 481T-1 (Team:Rodham/Sillito/Baird, Brad)",X,X,"CS 480T-1 (Team:Rodham/Sillito/Baird, Brad)",X,,,,,,X,X,X,
MARB,222,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCKB,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCKB,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SFH,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,1170,1,"CS 191/291T-1 (Team:Zappala/Dougal, Duane)",CS 110-3 (Zappala),X,X,X,X,X,CS 340-1 (Rodham),X,,X,CS 324-2 (Deccio),CS 324-1 (Deccio),"CS 324-3 (Dougal, Duane)",CS 236-1 (Barker),CS 236-2 (Barker),X,X,X,,,,X,"CS 111-4 (Giles, Steven)",X,X,X,"CS 235-5 (Dougal, Duane)",X,"CS 110-2 (Dougal, Duane)",X,X,,,,,,,X,X,X,X,
TMCB,120,1,"CS 428-1 (Webster, Bruce)",X,X,CS 401R-2 (Toborg),CS 575-1 (Goodrich),CS 256-1 (Hughes),"CS 405-1 (Earnshaw, Craig)",X,CS 356-1 (Larsen),,CS 401RB-1 (Bean),X,X,X,X,X,X,X,X,,CS 456-1 (Carroll),CS 356-2 (Larsen),X,CS 493-1 (Farrell),X,X,X,CS 630-1 (Germane),X,"CS 465-1 (Clift, Fred)",X,X,,,"CS 235E-1 (Barton, Dylan)",X,X,,X,X,X,X,
TMCB,134,1,,,X,CS 556-1 (Hughes),,CS 677-1 (Jenkins),CS 330-1 (Germane),X,,,,X,X,,X,X,X,X,X,,,,X,CS 111L-7 (TBD),X,X,X,CS 111L-10 (TBD),X,CS 252A-1 (Ng),X,X,,,"CS 345E-1 (Judd, Glenn)",X,X,,X,,X,X,
TMCB,135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,136,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TMCB,197,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Online,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CS 110-O (Jones, Angela); CS 235-O (Clement); CS 260-O (Jensen); CS 111-O (Stephens); CS 240-O (Rodham); CS 240-O (Wilkerson)"
