Status,Course,Section,Instructor,Enrollment,Meeting Pattern,Reason
SCHEDULED,470,1,Archibald,64,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,670,1,Archibald,17,"M,W 09:30 AM-10:45 AM",Source: template
SCHEDULED,224A,1,Barker,68,"M,W,F 10:00 AM-10:50 AM",Source: template
SCHEDULED,224A,2,Barker,33,"M,W,F 11:00 AM-11:50 AM",Source: template
SCHEDULED,252B,1,Barker,55,"M,W,F 02:00 PM-02:50 PM",Source: template
SCHEDULED,252B,2,Barker,26,"M,W,F 03:00 PM-03:50 PM",Source: template
SCHEDULED,110,1,Bean,81,"M,W 02:00 PM-03:15 PM",Source: template
SCHEDULED,110,2,Page,106,"T,Th 09:30 AM-10:45 AM",Source: template
SCHEDULED,110,3,"Dougal, Duane",85,"M,W 12:30 PM-01:45 PM",Source: template
SCHEDULED,110,4,"Dougal, Duane",173,"M,W 09:30 AM-10:45 AM",Source: template
SCHEDULED,110,6,"Jones, Angela",57,"T,Th 04:00 PM-05:15 PM",Source: template
SCHEDULED,401R,1,Bean,13,"M,W 11:00 AM-11:50 AM",Source: template
SCHEDULED,401R,2,Hughes,10,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,401R,3,Toborg,25,"M,W,F 02:00 PM-03:15 PM",Source: template
SCHEDULED,260,1,Clement,55,"M,W 09:30 AM-10:45 AM",Source: template
SCHEDULED,260,2,Ventura,51,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,460,1,Deccio,37,"M,W,F 10:00 AM-10:50 AM",Source: template
SCHEDULED,355,1,Egbert,50,"T,Th 08:00 AM-09:15 AM",Source: template
SCHEDULED,312,1,Farrell,29,"T,Th 03:30 PM-04:45 PM",Source: template
SCHEDULED,312,2,Farrell,39,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,330,1,Germane,29,"T,Th 03:30 PM-04:45 PM",Source: template
SCHEDULED,430,1,Germane,5,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,236,1,Goodrich,59,"M,W,F 01:00 PM-01:50 PM",Source: template
SCHEDULED,236,2,Goodrich,54,"M,W,F 02:00 PM-02:50 PM",Source: template
SCHEDULED,236,3,Goodrich,104,"M,W,F 11:00 AM-11:50 AM",Source: template
SCHEDULED,236,4,Mercer,42,"M,W,F 01:00 PM-01:50 PM",Source: template
SCHEDULED,501R,1,Grimsman,7,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,256,1,Hughes,39,"M,W 09:00 AM-09:50 AM",Source: template
SCHEDULED,474,1,Jenkins,74,"T,Th 09:30 AM-10:45 AM",Source: template
SCHEDULED,329,1,Jensen,69,"T,Th 03:30 PM-04:45 PM",Source: template
SCHEDULED,356,1,Jones MD,11,"T,Th 05:00 PM-06:15 PM",Source: template
SCHEDULED,482T,1,Team:MJ/Snell,26,"T,Th 09:30 AM-10:45 AM",Source: template
SCHEDULED,686,1,Mercer,5,"M,W,F 02:00 PM-02:50 PM",Source: template
SCHEDULED,653,1,Ng,13,"M,W 11:00 AM-12:15 PM",Source: template
SCHEDULED,111,1,Reynolds,94,"T,Th 02:00 PM-03:15 PM",Source: template
