Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,110L,7,TBD,32,MCKB,220,32,2,"T,Th",09:00 AM,09:50 AM,100.0%
Winter 2027,110L,8,TBD,40,TMCB,136,40,1,"T,Th",09:00 AM,09:50 AM,100.0%
Winter 2027,110L,9,TBD,34,SFH,37,34,2,"T,Th",10:00 AM,10:50 AM,100.0%
Winter 2027,110L,10,TBD,34,TMCB,136,40,1,"T,Th",10:00 AM,10:50 AM,85.0%
Winter 2027,110L,11,TBD,40,TMCB,136,40,1,"T,Th",12:00 PM,12:50 PM,100.0%
Winter 2027,110L,12,TBD,40,TMCB,136,40,1,"T,Th",01:00 PM,01:50 PM,100.0%
Winter 2027,110L,13,TBD,40,TMCB,136,40,1,"T,Th",02:00 PM,02:50 PM,100.0%
Winter 2027,110L,14,TBD,50,ESC,C285,50,2,"T,Th",02:00 PM,02:50 PM,100.0%
Winter 2027,110L,15,TBD,40,TMCB,136,40,1,"T,Th",03:00 PM,03:50 PM,100.0%
Winter 2027,110L,16,TBD,40,TMCB,104,42,2,"T,Th",03:00 PM,03:50 PM,95.2%
Winter 2027,110L,17,TBD,40,TMCB,136,40,1,"T,Th",04:00 PM,04:50 PM,100.0%
Winter 2027,110L,18,TBD,40,TMCB,136,40,1,"T,Th",05:30 PM,06:20 PM,100.0%
Winter 2027,110L,19,TBD,186,MARB,222,269,2,"M,W",12:30 PM,01:45 PM,69.1%
Winter 2027,111L,6,TBD,30,MCKB,26,30,2,"T,Th",09:30 AM,10:45 AM,100.0%
Winter 2027,111L,7,TBD,40,TMCB,134,42,1,"T,Th",09:30 AM,10:45 AM,95.2%
Winter 2027,111L,8,TBD,50,ESC,C285,50,2,"T,Th",09:30 AM,10:45 AM,100.0%
Winter 2027,111L,9,TBD,50,ESC,C285,50,2,"T,Th",12:30 PM,01:45 PM,100.0%
Winter 2027,111L,10,TBD,41,TMCB,134,42,1,"T,Th",12:30 PM,01:45 PM,97.6%
Winter 2027,111L,11,TBD,40,TMCB,104,42,2,"T,Th",12:30 PM,01:45 PM,95.2%
Winter 2027,111L,12,TBD,50,TMCB,135,69,2,"T,Th",02:00 PM,03:15 PM,72.5%
Winter 2027,111L,13,TBD,40,TMCB,108,42,2,"T,Th",02:00 PM,03:15 PM,95.2%
Winter 2027,111L,14,TBD,48,BRMB,240,48,2,"T,Th",02:00 PM,03:15 PM,100.0%
Winter 2027,111L,15,TBD,50,ESC,C285,50,2,"T,Th",03:30 PM,04:45 PM,100.0%
Winter 2027,111L,16,TBD,48,BRMB,240,48,2,"T,Th",03:30 PM,04:45 PM,100.0%
Winter 2027,111L,17,TBD,50,HBLL,3718,59,1,"T,Th",03:30 PM,04:45 PM,84.7%
Winter 2027,111L,18,TBD,42,TMCB,104,42,2,"T,Th",05:30 PM,06:45 PM,100.0%
Winter 2027,111L,20,TBD,42,TMCB,108,42,2,"T,Th",05:00 PM,06:15 PM,100.0%
Winter 2027,224L,5,TBD,30,MCKB,26,30,2,W,11:00 AM,11:50 AM,100.0%
Winter 2027,224L,6,TBD,30,MCKB,26,30,2,Th,11:00 AM,11:50 AM,100.0%
Winter 2027,224L,7,TBD,30,MCKB,26,30,2,W,12:00 PM,12:50 PM,100.0%
Winter 2027,224L,8,TBD,30,MCKB,26,30,2,W,01:00 PM,01:50 PM,100.0%
Winter 2027,224L,9,TBD,30,TMCB,197,30,2,Th,11:00 AM,11:50 AM,100.0%
Winter 2027,224L,10,TBD,30,MCKB,26,30,2,W,09:00 AM,09:50 AM,100.0%
Winter 2027,224L,11,TBD,30,MCKB,220,32,2,Th,11:00 AM,11:50 AM,93.8%
Winter 2027,224L,12,TBD,30,MCKB,26,30,2,T,04:00 PM,04:50 PM,100.0%
Winter 2027,224L,13,TBD,60,TMCB,111,77,2,T,02:00 PM,02:50 PM,77.9%
Winter 2027,224L,14,TBD,40,TMCB,108,42,2,T,12:00 PM,12:50 PM,95.2%
