Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Fall 2026,110L,1,TBD,24,MCKB,331,28,2,"T,Th",09:30 AM,10:45 AM,85.7%
Fall 2026,110L,2,TBD,24,MCKB,26,30,2,"T,Th",09:30 AM,10:45 AM,80.0%
Fall 2026,110L,3,TBD,24,TMCB,197,30,2,"T,Th",09:30 AM,10:45 AM,80.0%
Fall 2026,110L,4,TBD,24,MCKB,220,32,2,"T,Th",09:30 AM,10:45 AM,75.0%
Fall 2026,110L,5,TBD,24,MCKB,280,32,2,"T,Th",09:30 AM,10:45 AM,75.0%
Fall 2026,110L,6,TBD,24,SFH,37,34,2,"T,Th",09:30 AM,10:45 AM,70.6%
Fall 2026,110L,7,TBD,24,MCKB,331,28,2,"T,Th",12:30 PM,01:45 PM,85.7%
Fall 2026,110L,8,TBD,24,MCKB,26,30,2,"T,Th",12:30 PM,01:45 PM,80.0%
Fall 2026,110L,9,TBD,24,TMCB,197,30,2,"T,Th",12:30 PM,01:45 PM,80.0%
Fall 2026,110L,10,TBD,24,MCKB,220,32,2,"T,Th",12:30 PM,01:45 PM,75.0%
Fall 2026,110L,11,TBD,24,MCKB,280,32,2,"T,Th",12:30 PM,01:45 PM,75.0%
Fall 2026,110L,12,TBD,24,SFH,37,34,2,"T,Th",12:30 PM,01:45 PM,70.6%
Fall 2026,110L,13,TBD,24,MCKB,331,28,2,"M,W",05:00 PM,06:15 PM,85.7%
Fall 2026,111L,1,TBD,24,MCKB,331,28,2,"T,Th",02:00 PM,03:15 PM,85.7%
Fall 2026,111L,2,TBD,24,MCKB,26,30,2,"T,Th",02:00 PM,03:15 PM,80.0%
Fall 2026,111L,3,TBD,24,TMCB,197,30,2,"T,Th",02:00 PM,03:15 PM,80.0%
Fall 2026,111L,4,TBD,24,MCKB,220,32,2,"T,Th",02:00 PM,03:15 PM,75.0%
Fall 2026,111L,5,TBD,24,MCKB,280,32,2,"T,Th",02:00 PM,03:15 PM,75.0%
Fall 2026,111L,6,TBD,24,SFH,37,34,2,"T,Th",02:00 PM,03:15 PM,70.6%
Fall 2026,111L,7,TBD,24,MCKB,331,28,2,"T,Th",03:30 PM,04:45 PM,85.7%
Fall 2026,111L,8,TBD,24,MCKB,26,30,2,"T,Th",03:30 PM,04:45 PM,80.0%
Fall 2026,111L,9,TBD,24,TMCB,197,30,2,"T,Th",03:30 PM,04:45 PM,80.0%
Fall 2026,111L,10,TBD,24,MCKB,220,32,2,"T,Th",03:30 PM,04:45 PM,75.0%
Fall 2026,111L,11,TBD,24,MCKB,280,32,2,"T,Th",03:30 PM,04:45 PM,75.0%
Fall 2026,111L,12,TBD,24,SFH,37,34,2,"T,Th",03:30 PM,04:45 PM,70.6%
Fall 2026,224L,1,TBD,24,MCKB,331,28,2,"M,W",09:30 AM,10:45 AM,85.7%
Fall 2026,224L,2,TBD,24,MCKB,26,30,2,"M,W",09:30 AM,10:45 AM,80.0%
Fall 2026,224L,3,TBD,24,TMCB,197,30,2,"M,W",09:30 AM,10:45 AM,80.0%
Fall 2026,224L,4,TBD,24,MCKB,220,32,2,"M,W",09:30 AM,10:45 AM,75.0%
Fall 2026,224L,5,TBD,24,MCKB,280,32,2,"M,W",09:30 AM,10:45 AM,75.0%
Fall 2026,224L,6,TBD,24,SFH,37,34,2,"M,W",09:30 AM,10:45 AM,70.6%
Fall 2026,224L,7,TBD,24,MCKB,331,28,2,"M,W",11:00 AM,12:15 PM,85.7%
Fall 2026,224L,8,TBD,24,MCKB,26,30,2,"M,W",11:00 AM,12:15 PM,80.0%
Fall 2026,224L,9,TBD,24,TMCB,197,30,2,"M,W",11:00 AM,12:15 PM,80.0%
Fall 2026,224L,10,TBD,24,MCKB,220,32,2,"M,W",11:00 AM,12:15 PM,75.0%
